# gx (bohr),gy,gz,Re n(g_vec) (1/bohr**3), Im n(g_vec)
1.039008497523755459e+01,5.500633222184587723e+00,-5.500633222184587723e+00,4.371076653877945809e-08,-1.683348715530800184e-18
1.100126644436917367e+01,6.111814691316206805e+00,-6.111814691316206805e+00,-2.249946770172160150e-11,1.030294352850953676e-17
1.161244791350079453e+01,6.722996160447827663e+00,-6.722996160447827663e+00,5.871513886415522296e-09,8.387943495382533090e-18
-4.889451753052966865e+00,-9.778903506105933729e+00,9.778903506105933729e+00,-3.246203380108223411e-08,1.174000836246074881e-17
-4.278270283921345118e+00,-9.167722036974311095e+00,9.167722036974311095e+00,-1.668866634455314150e-08,5.250518524266023318e-18
-3.667088814789725149e+00,-8.556540567842692013e+00,8.556540567842692013e+00,-5.808233578079713685e-11,-5.947938059062012974e-19
-3.055907345658104290e+00,-7.945359098711071155e+00,7.945359098711071155e+00,2.172615649305079352e-08,-1.332608837380450094e-17
-2.444725876526483432e+00,-7.334177629579450297e+00,7.334177629579450297e+00,1.995715772082392213e-07,-4.797246268153222790e-18
-1.833544407394861686e+00,-6.722996160447828551e+00,6.722996160447828551e+00,-1.684279635650566875e-07,6.109866401067184445e-19
-1.222362938263241716e+00,-6.111814691316208581e+00,6.111814691316208581e+00,1.701259370761366423e-08,7.009119960052578526e-18
-6.111814691316208581e-01,-5.500633222184587723e+00,5.500633222184587723e+00,-7.189270710934490776e-07,9.879613275099381050e-18
0.000000000000000000e+00,-4.889451753052966865e+00,4.889451753052966865e+00,7.644843828444948537e-07,3.351709945004865690e-18
6.111814691316208581e-01,-4.278270283921346007e+00,4.278270283921346007e+00,4.747967217249210739e-06,-7.159873042980124246e-18
1.222362938263241716e+00,-3.667088814789725149e+00,3.667088814789725149e+00,9.384891762971792539e-06,-9.607525288582379054e-18
1.833544407394862574e+00,-3.055907345658104290e+00,3.055907345658104290e+00,3.353106030169527912e-05,-6.281503172387907902e-18
